student,question,explanationText,score,upvotes,downvotes,postTimeStamp
13,107,  ,0,0,0,2017-06-10 07:29:20.985250+00:00
8,92, ,0,0,0,2017-06-09 17:35:09.191715+00:00
8,91, ,0,0,0,2017-06-09 17:32:22.090229+00:00
8,101,为什么不选A？？？,0,0,0,2017-06-09 17:22:28.006064+00:00
8,101, ,0,0,0,2017-06-09 17:21:03.282184+00:00
8,98, ,0,0,0,2017-06-09 17:12:23.355032+00:00
51,101,,0,0,0,2017-06-08 17:19:55.657515+00:00
51,102,应该是5个字符..默认\0,0,0,0,2017-06-08 17:18:28.244034+00:00
51,103,,0,0,0,2017-06-08 17:16:35.873847+00:00
44,104,,0,0,0,2017-06-08 12:17:12.557109+00:00
44,103,,0,0,0,2017-06-08 12:15:44.902596+00:00
44,102,是5个字符要注意,0,0,0,2017-06-08 12:14:28.785896+00:00
44,102,,0,0,0,2017-06-08 12:14:02.163699+00:00
44,99,,0,0,0,2017-06-08 12:10:54.586417+00:00
44,98,,0,0,0,2017-06-08 12:08:01.187994+00:00
68,85,,0,0,0,2017-06-08 10:15:25.107204+00:00
68,84,,0,0,0,2017-06-08 10:13:58.472077+00:00
68,83,,0,0,0,2017-06-08 10:12:18.259462+00:00
68,82,,0,0,0,2017-06-08 10:11:27.926561+00:00
68,88,,0,0,0,2017-06-08 10:06:16.486180+00:00
68,89,,0,0,0,2017-06-08 10:04:30.781536+00:00
68,91,t0  t1   t2分别是三行元素的首地址,0,0,0,2017-06-08 10:01:14.971005+00:00
68,91,,0,0,0,2017-06-08 10:00:23.190654+00:00
68,92,,0,0,0,2017-06-08 09:58:44.719069+00:00
68,93,,0,0,0,2017-06-08 09:56:24.444438+00:00
68,94,,0,0,0,2017-06-08 09:55:19.803385+00:00
68,95,,0,0,0,2017-06-08 09:52:44.986434+00:00
68,96,,0,0,0,2017-06-08 09:50:25.700981+00:00
68,102,,0,0,0,2017-06-08 09:45:23.942001+00:00
68,101,,0,0,0,2017-06-08 09:40:30.011086+00:00
81,101,,0,0,0,2017-06-08 09:12:19.813349+00:00
57,102,,0,0,0,2017-06-08 09:09:09.152797+00:00
83,101,,0,0,0,2017-06-08 09:08:39.216007+00:00
81,100,,0,0,0,2017-06-08 09:06:34.816353+00:00
83,99,,0,0,0,2017-06-08 09:04:46.774543+00:00
83,98,,0,0,0,2017-06-08 09:01:51.814878+00:00
15,101,,0,0,0,2017-06-08 09:01:20.981411+00:00
8,96, ,0,0,0,2017-06-08 09:00:33.973982+00:00
81,99,,0,0,0,2017-06-08 08:59:49.153290+00:00
81,98,,0,0,0,2017-06-08 08:58:41.470295+00:00
15,99,,0,0,0,2017-06-08 08:57:56.909894+00:00
8,95, ,0,0,0,2017-06-08 08:55:37.692239+00:00
15,97,,0,0,0,2017-06-08 08:54:10.489345+00:00
67,98,,0,0,0,2017-06-08 08:53:56.096388+00:00
57,103,,0,0,0,2017-06-08 08:53:42.778220+00:00
69,103,,0,0,0,2017-06-08 08:53:15.768132+00:00
15,96,,0,0,0,2017-06-08 08:53:07.484573+00:00
69,104,,0,0,0,2017-06-08 08:51:29.394273+00:00
30,103,,0,0,0,2017-06-08 08:49:44.690191+00:00
67,99,,0,0,0,2017-06-08 08:49:11.197776+00:00
19,98,,0,0,0,2017-06-08 08:47:27.385929+00:00
15,95,,0,0,0,2017-06-08 08:47:22.598129+00:00
15,104,,0,0,0,2017-06-08 08:47:03.178570+00:00
15,94,,0,0,0,2017-06-08 08:46:09.298681+00:00
67,102,,0,0,0,2017-06-08 08:44:53.420475+00:00
19,99,,0,0,0,2017-06-08 08:43:56.154076+00:00
56,101,为什么不选A呀,0,0,0,2017-06-08 08:41:12.392135+00:00
30,102,,0,0,0,2017-06-08 08:39:56.459069+00:00
8,104, ,0,0,0,2017-06-08 08:34:23.114371+00:00
67,104,,0,0,0,2017-06-08 08:34:16.523257+00:00
66,77,,0,0,0,2017-06-08 08:33:01.828002+00:00
57,99,,0,0,0,2017-06-08 08:31:09.595468+00:00
21,103,,0,0,0,2017-06-08 08:26:53.376539+00:00
23,97,,0,0,0,2017-06-08 08:25:53.667058+00:00
49,103,,0,0,0,2017-06-08 08:24:33.432387+00:00
83,103,"要等到把(*--p)的值赋给y后(*--p)的值才会增1。所以结果是y=1，a[0]=2。
",0,0,0,2017-06-08 08:22:14.300327+00:00
8,103, ,0,0,0,2017-06-08 08:21:45.107549+00:00
49,102,5个字符这个真的是有毒啊啊啊啊啊,0,0,0,2017-06-08 08:21:21.003695+00:00
49,102,,0,0,0,2017-06-08 08:20:13.932749+00:00
81,104,"
",0,0,0,2017-06-08 08:20:05.962731+00:00
19,101,,0,0,0,2017-06-08 08:19:16.131895+00:00
36,96, ,0,0,0,2017-06-08 08:19:02.923221+00:00
39,99,呵呵，这么赋值是一个一个溜,0,0,0,2017-06-08 08:18:34.530153+00:00
39,98,so 是说换成*（p+2)就对了嘛，我要报警了,0,0,0,2017-06-08 08:17:31.264375+00:00
23,96, ,0,0,0,2017-06-08 08:17:27.519259+00:00
74,102," B）aa是指针数组，不是指针变量
C）aa数组的两个元素分别存放的是含有5个字符的一维字符数组的首地址",0,0,0,2017-06-08 08:16:50.986469+00:00
83,103,,0,0,0,2017-06-08 08:16:40.444525+00:00
39,102,5个元素，有毒吧,0,0,0,2017-06-08 08:16:06.429512+00:00
48,104,为什么定义的时候不说清楚是指针变量呢？即为啥定义时前面没有“*”号？,0,0,0,2017-06-08 08:15:52.221767+00:00
19,102,b错在哪里啊？,0,0,0,2017-06-08 08:15:25.436650+00:00
21,104,,0,0,0,2017-06-08 08:14:29.063124+00:00
39,103,++是在赋值之后在运算，我要报警了,0,0,0,2017-06-08 08:14:15.161204+00:00
36,104," 
",0,0,0,2017-06-08 08:13:20.159675+00:00
39,103,.,0,0,0,2017-06-08 08:13:13.783752+00:00
59,104,？？？,0,0,0,2017-06-08 08:11:42.267699+00:00
48,103,为啥就是1了啊？不是还有一个++吗,0,0,0,2017-06-08 08:11:21.409546+00:00
19,102,,0,0,0,2017-06-08 08:08:43.959811+00:00
35,104,B和D有什么区别呢……,0,0,0,2017-06-08 08:08:24.210569+00:00
66,103,1,0,0,0,2017-06-08 08:07:42.913296+00:00
79,103,,0,0,0,2017-06-08 08:07:39.185828+00:00
19,103,,0,0,0,2017-06-08 08:05:24.925835+00:00
21,102,,0,0,0,2017-06-08 08:05:22.286901+00:00
66,102,,0,0,0,2017-06-08 08:05:17.477374+00:00
71,102,C应该是5个字符。,0,0,0,2017-06-08 08:05:11.690422+00:00
71,102,aa是什么？,0,0,0,2017-06-08 08:04:29.039450+00:00
57,104,,0,0,0,2017-06-08 08:04:03.749402+00:00
